from,car_count,bike_count
2020-03-18,52206.0,13
2020-03-19,51617.0,13
2020-03-20,49989.0,24
2020-03-21,31380.0,22
2020-03-22,25413.0,17
2020-03-23,51621.0,13
2020-03-24,51514.0,11
2020-03-25,52897.0,19
2020-03-26,54114.0,21
2020-03-27,53368.0,14
2020-03-28,33712.0,33
2020-03-29,28070.0,34
2020-03-30,55519.0,30
2020-03-31,57546.0,42
2020-04-01,58882.0,31
2020-04-02,58879.0,17
2020-04-03,58481.0,24
2020-04-04,37074.0,37
2020-04-05,28197.0,18
2020-04-06,61035.0,52
2020-04-07,61472.0,42
2020-04-08,59140.0,33
2020-04-09,34551.0,45
2020-04-10,31317.0,39
2020-04-11,28061.0,16
2020-04-12,29676.0,33
2020-04-13,33323.0,24
2020-04-14,59652.0,24
2020-04-15,63785.0,43
2020-04-16,65332.0,36
2020-04-17,64037.0,48
2020-04-18,43112.0,67
2020-04-19,39801.0,80
2020-04-20,67577.0,61
2020-04-21,68970.0,75
2020-04-22,70786.0,62
2020-04-23,71454.0,63
2020-04-24,65540.0,43
2020-04-25,41416.0,36
2020-04-26,42577.0,51
2020-04-27,67194.0,12
2020-04-28,71875.0,41
2020-04-29,75348.0,40
2020-04-30,79244.0,59
2020-05-01,37182.0,49
2020-05-02,41864.0,62
2020-05-03,45929.0,44
2020-05-04,72839.0,57
2020-05-05,74636.0,71
2020-05-06,77290.0,91
2020-05-07,77551.0,71
2020-05-08,74359.0,69
2020-05-09,49126.0,92
2020-05-10,41807.0,39
2020-05-11,75226.0,63
2020-05-12,76485.0,64
2020-05-13,80109.0,74
2020-05-14,81495.0,75
2020-05-15,78852.0,62
2020-05-16,48970.0,55
2020-05-17,46357.0,39
2020-05-18,77096.0,82
2020-05-19,83099.0,71
2020-05-20,86841.0,66
2020-05-21,47867.0,74
2020-05-22,64572.0,63
2020-05-23,44878.0,37
2020-05-24,50493.0,33
2020-05-25,80934.0,77
2020-05-26,83048.0,74
2020-05-27,85062.0,75
2020-05-28,88909.0,102
2020-05-29,81840.0,107
2020-05-30,52332.0,132
2020-05-31,48065.0,164
2020-06-01,56819.0,120
2020-06-02,85384.0,110
2020-06-03,86267.0,101
2020-06-04,86736.0,75
2020-06-05,80711.0,42
2020-06-06,50952.0,20
2020-06-07,49289.0,43
2020-06-08,71420.0,78
2020-06-09,76236.0,99
2020-06-10,77910.0,74
2020-06-11,79260.0,98
2020-06-12,76258.0,119
2020-06-13,53895.0,95
2020-06-14,55184.0,107
2020-06-15,78005.0,131
2020-06-16,79221.0,115
2020-06-17,82203.0,105
2020-06-18,84104.0,131
2020-06-19,79666.0,112
2020-06-20,57440.0,107
2020-06-21,52460.0,31
2020-06-22,79221.0,55
2020-06-23,81617.0,104
2020-06-24,84323.0,115
2020-06-25,85251.0,95
2020-06-26,81013.0,118
2020-06-27,58473.0,88
2020-06-28,53498.0,18
2020-06-29,78367.0,47
2020-06-30,80259.0,49
2020-07-01,80931.0,76
2020-07-02,79962.0,72
2020-07-03,75021.0,57
2020-07-04,56177.0,63
2020-07-05,49627.0,31
2020-07-06,68751.0,48
2020-07-07,66848.0,33
2020-07-08,69346.0,50
2020-07-09,68177.0,70
2020-07-10,65709.0,51
2020-07-11,50969.0,81
2020-07-12,50733.0,42
2020-07-13,63753.0,71
2020-07-14,59135.0,29
2020-07-15,61841.0,75
2020-07-16,62231.0,71
2020-07-17,61604.0,55
2020-07-18,48416.0,32
2020-07-19,47430.0,34
2020-07-20,62174.0,65
2020-07-21,59441.0,76
2020-07-22,59731.0,48
2020-07-23,60412.0,57
2020-07-24,61241.0,52
2020-07-25,51971.0,67
2020-07-26,46937.0,26
2020-07-27,64232.0,57
2020-07-28,62087.0,38
2020-07-29,65551.0,48
2020-07-30,68142.0,67
2020-07-31,66418.0,83
2020-08-01,57028.0,78
2020-08-02,53089.0,30
2020-08-03,72766.0,105
2020-08-04,77431.0,87
2020-08-05,78401.0,30
2020-08-06,77750.0,65
2020-08-07,73822.0,78
2020-08-08,57428.0,62
2020-08-09,59543.0,83
2020-08-10,76827.0,70
2020-08-11,79119.0,94
2020-08-12,81606.0,99
2020-08-13,80734.0,87
2020-08-14,77028.0,101
2020-08-15,13051.0,86
2020-08-16,0.0,82
2020-08-17,0.0,129
2020-08-18,0.0,102
2020-08-19,0.0,82
2020-08-20,0.0,84
2020-08-21,33822.0,43
2020-08-22,52932.0,48
2020-08-23,54243.0,60
2020-08-24,76599.0,68
2020-08-25,80857.0,61
2020-08-26,80055.0,74
2020-08-27,81302.0,83
2020-08-28,76707.0,80
2020-08-29,53826.0,59
2020-08-30,54255.0,58
2020-08-31,76179.0,86
2020-09-01,78824.0,88
2020-09-02,79444.0,104
2020-09-03,81108.0,72
2020-09-04,76036.0,85
2020-09-05,55334.0,50
2020-09-06,55539.0,57
2020-09-07,75312.0,56
2020-09-08,78599.0,73
2020-09-09,80197.0,50
2020-09-10,80529.0,62
2020-09-11,74971.0,59
2020-09-12,54305.0,62
2020-09-13,54444.0,49
2020-09-14,75929.0,72
2020-09-15,78971.0,71
2020-09-16,80471.0,65
2020-09-17,82549.0,70
2020-09-18,76478.0,59
2020-09-19,55366.0,69
2020-09-20,56208.0,56
2020-09-21,75527.0,68
2020-09-22,80740.0,80
2020-09-23,78782.0,34
2020-09-24,80687.0,44
2020-09-25,77522.0,60
2020-09-26,55134.0,51
2020-09-27,50784.0,40
2020-09-28,72624.0,62
2020-09-29,73430.0,43
2020-09-30,75920.0,56
2020-10-01,75326.0,50
2020-10-02,67269.0,58
2020-10-03,49979.0,35
2020-10-04,46078.0,27
2020-10-05,75670.0,51
2020-10-06,75899.0,16
2020-10-07,78048.0,32
2020-10-08,80499.0,58
2020-10-09,81539.0,55
2020-10-10,54406.0,16
2020-10-11,53490.0,44
2020-10-12,74660.0,52
2020-10-13,77488.0,41
2020-10-14,78790.0,55
2020-10-15,80139.0,43
2020-10-16,76531.0,50
2020-10-17,53504.0,28
2020-10-18,53271.0,22
2020-10-19,73861.0,40
2020-10-20,69014.0,15
2020-10-21,77039.0,22
2020-10-22,78601.0,47
2020-10-23,75004.0,47
2020-10-24,52135.0,23
2020-10-25,50403.0,13
2020-10-26,73672.0,27
2020-10-27,73018.0,26
2020-10-28,73736.0,39
2020-10-29,73795.0,48
2020-10-30,68529.0,29
2020-10-31,47754.0,39
2020-11-01,46536.0,13
2020-11-02,66849.0,27
