Traffic_registration_point,Name,Road_reference,From,To,Traffic_volume,Confidence_interval_start,Confidence_interval_end,Coverage (%),Total_days,Included_days,Invalid_days,Invalid_length,Length_quality_grade (%),Lane,under_5_6m,over_5_6m,5_6m_to_7_6m,7_6m_to_12_5m,12_5m_to_16_0m,over_16_0m,16_0m_to_24_0m,over_24_0m,Year,Month,Day_of_Week,Light_Vehicles,Heavy_Vehicles,Traffic_Volume_Check,Traffic_Volume_Difference,Days_Check,Traffic_Volume_Outlier,YearMonth,Monthly_Traffic_Volume,Daily_Mean_Traffic_Volume,Percent_Light_Vehicles,Percent_Heavy_Vehicles,Percent_5_6m_to_7_6m,Percent_7_6m_to_12_5m,Percent_12_5m_to_16_0m,Percent_16_0m_to_24_0m,Percent_Over_24_0m,Confidence_Interval,Traffic_Quality_Grade,is_weekend,season,heavy_vehicle_ratio,traffic_volume_category,traffic_quality_category,date,day_type
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-01-31 23:00:00,2020-02-29 23:00:00,6420,5881,6959,34.5,29,10,2,297,95.4,1,5657,466,152,100,32,182,178,4,2020,1,Friday,5657,1114,6771,-351,17,False,2020-01,43419,7236.5,1.897846712457988,0.5904345199300456,0.052050014102097183,0.028855445738987462,0.007113668914819827,0.13696317474026343,0.0011522139791609578,6664.833333333333,97.96666666666668,0,Winter,0.1735202492211838,Medium,Good,2020-01-31,Workday
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-01-31 23:00:00,2020-02-29 23:00:00,6593,6098,7088,34.5,29,10,2,38,99.4,2,5872,683,162,77,11,433,431,2,2020,1,Friday,5872,1799,7671,-1078,17,False,2020-01,43419,7236.5,1.897846712457988,0.5904345199300456,0.052050014102097183,0.028855445738987462,0.007113668914819827,0.13696317474026343,0.0011522139791609578,6664.833333333333,97.96666666666668,0,Winter,0.2728651600182011,High,Good,2020-01-31,Workday
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-01-31 23:00:00,2020-02-29 23:00:00,1460,1338,1582,34.5,29,10,2,5,99.7,3,1099,356,33,15,4,303,302,1,2020,1,Friday,1099,1014,2113,-653,17,True,2020-01,43419,7236.5,1.897846712457988,0.5904345199300456,0.052050014102097183,0.028855445738987462,0.007113668914819827,0.13696317474026343,0.0011522139791609578,6664.833333333333,97.96666666666668,0,Winter,0.6945205479452055,Low,Good,2020-01-31,Workday
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-01-31 23:00:00,2020-02-29 23:00:00,6610,6116,7104,34.5,29,10,2,40,99.4,Totalt i retning Solli Plass,5877,693,164,82,12,434,432,2,2020,1,Friday,5877,1819,7696,-1086,17,False,2020-01,43419,7236.5,1.897846712457988,0.5904345199300456,0.052050014102097183,0.028855445738987462,0.007113668914819827,0.13696317474026343,0.0011522139791609578,6664.833333333333,97.96666666666668,0,Winter,0.2751891074130106,High,Good,2020-01-31,Workday
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-01-31 23:00:00,2020-02-29 23:00:00,7863,7219,8507,34.5,29,10,2,301,96.2,Totalt i retning Skøyen,6751,812,182,110,35,485,479,6,2020,1,Friday,6751,2109,8860,-997,17,False,2020-01,43419,7236.5,1.897846712457988,0.5904345199300456,0.052050014102097183,0.028855445738987462,0.007113668914819827,0.13696317474026343,0.0011522139791609578,6664.833333333333,97.96666666666668,0,Winter,0.2682182373140023,High,Good,2020-01-31,Workday
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-01-31 23:00:00,2020-02-29 23:00:00,14473,13337,15609,34.5,29,10,2,340,97.7,Totalt,12628,1505,346,192,48,920,912,8,2020,1,Friday,12628,3931,16559,-2086,17,True,2020-01,43419,7236.5,1.897846712457988,0.5904345199300456,0.052050014102097183,0.028855445738987462,0.007113668914819827,0.13696317474026343,0.0011522139791609578,6664.833333333333,97.96666666666668,0,Winter,0.2716092033441581,High,Good,2020-01-31,Workday
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-02-29 23:00:00,2020-03-31 22:00:00,5302,5302,5302,100.0,31,31,0,243,95.4,1,4632,428,128,94,27,180,176,4,2020,2,Saturday,4632,1037,5669,-367,0,False,2020-02,35955,5992.5,1.5498279944914153,0.5579721434736846,0.04328316860848119,0.027753328019790025,0.005811166155768308,0.1339073028824887,0.0009017326793433582,5992.5,98.06666666666666,1,Winter,0.1955865711052433,Low,Good,2020-02-29,Weekend
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-02-29 23:00:00,2020-03-31 22:00:00,5484,5484,5484,100.0,31,31,0,18,99.7,2,4825,641,130,79,9,423,422,1,2020,2,Saturday,4825,1705,6530,-1046,0,False,2020-02,35955,5992.5,1.5498279944914153,0.5579721434736846,0.04328316860848119,0.027753328019790025,0.005811166155768308,0.1339073028824887,0.0009017326793433582,5992.5,98.06666666666666,1,Winter,0.3109044493070751,Low,Good,2020-02-29,Weekend
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-02-29 23:00:00,2020-03-31 22:00:00,1199,1199,1199,100.0,31,31,0,4,99.7,3,856,339,30,12,3,294,293,1,2020,2,Saturday,856,972,1828,-629,0,True,2020-02,35955,5992.5,1.5498279944914153,0.5579721434736846,0.04328316860848119,0.027753328019790025,0.005811166155768308,0.1339073028824887,0.0009017326793433582,5992.5,98.06666666666666,1,Winter,0.810675562969141,Low,Good,2020-02-29,Weekend
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-02-29 23:00:00,2020-03-31 22:00:00,5501,5501,5501,100.0,31,31,0,20,99.6,Totalt i retning Solli Plass,4831,650,132,84,9,425,424,1,2020,2,Saturday,4831,1725,6556,-1055,0,False,2020-02,35955,5992.5,1.5498279944914153,0.5579721434736846,0.04328316860848119,0.027753328019790025,0.005811166155768308,0.1339073028824887,0.0009017326793433582,5992.5,98.06666666666666,1,Winter,0.3135793492092347,Low,Good,2020-02-29,Weekend
