Traffic_registration_point,Name,Road_reference,From,To,From_Date,From_Time,To_Date,To_Time,Year,Month,Day_of_Week,Vehicle_Type,Count
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-01-31 23:00:00,2020-02-29 23:00:00,2020-01-31,23:00:00,2020-02-29,23:00:00,2020,1,Friday,Light_Vehicles,5657
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-01-31 23:00:00,2020-02-29 23:00:00,2020-01-31,23:00:00,2020-02-29,23:00:00,2020,1,Friday,Light_Vehicles,5872
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-01-31 23:00:00,2020-02-29 23:00:00,2020-01-31,23:00:00,2020-02-29,23:00:00,2020,1,Friday,Light_Vehicles,1099
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-01-31 23:00:00,2020-02-29 23:00:00,2020-01-31,23:00:00,2020-02-29,23:00:00,2020,1,Friday,Light_Vehicles,5877
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-01-31 23:00:00,2020-02-29 23:00:00,2020-01-31,23:00:00,2020-02-29,23:00:00,2020,1,Friday,Light_Vehicles,6751
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-01-31 23:00:00,2020-02-29 23:00:00,2020-01-31,23:00:00,2020-02-29,23:00:00,2020,1,Friday,Light_Vehicles,12628
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-02-29 23:00:00,2020-03-31 22:00:00,2020-02-29,23:00:00,2020-03-31,22:00:00,2020,2,Saturday,Light_Vehicles,4632
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-02-29 23:00:00,2020-03-31 22:00:00,2020-02-29,23:00:00,2020-03-31,22:00:00,2020,2,Saturday,Light_Vehicles,4825
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-02-29 23:00:00,2020-03-31 22:00:00,2020-02-29,23:00:00,2020-03-31,22:00:00,2020,2,Saturday,Light_Vehicles,856
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-02-29 23:00:00,2020-03-31 22:00:00,2020-02-29,23:00:00,2020-03-31,22:00:00,2020,2,Saturday,Light_Vehicles,4831
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-02-29 23:00:00,2020-03-31 22:00:00,2020-02-29,23:00:00,2020-03-31,22:00:00,2020,2,Saturday,Light_Vehicles,5481
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-02-29 23:00:00,2020-03-31 22:00:00,2020-02-29,23:00:00,2020-03-31,22:00:00,2020,2,Saturday,Light_Vehicles,10312
