Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Fra tidspunkt,Til tidspunkt,Felt,Trafikkmengde,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),< 5.6m,>= 5.6m,5.6m - 7.6m,7.6m - 12.5m,12.5m - 16.0m,>= 16.0m,16.0m - 24.0m,>= 24.0m
71608V603756,BygdÃ¸y alle ,KV10967 S1D1 m1314,2024-02-01T00:00+01:00,2024-02-01T01:00+01:00,2024-02-01,00:00,01:00,1,55,100.0,1,1,0,0,100.00,49,6,1,1,0,4,4,0
71608V603756,BygdÃ¸y alle ,KV10967 S1D1 m1314,2024-02-01T00:00+01:00,2024-02-01T01:00+01:00,2024-02-01,00:00,01:00,2,52,100.0,1,1,0,0,100.00,38,14,1,2,0,11,11,0
71608V603756,BygdÃ¸y alle ,KV10967 S1D1 m1314,2024-02-01T00:00+01:00,2024-02-01T01:00+01:00,2024-02-01,00:00,01:00,3,23,100.0,1,1,0,0,100.00,11,12,0,0,0,12,12,0
71608V603756,BygdÃ¸y alle ,KV10967 S1D1 m1314,2024-02-01T00:00+01:00,2024-02-01T01:00+01:00,2024-02-01,00:00,01:00,Totalt i retning SkÃ¸yen,76,100.0,1,1,0,0,100.00,59,17,0,1,0,16,16,0
71608V603756,BygdÃ¸y alle ,KV10967 S1D1 m1314,2024-02-01T00:00+01:00,2024-02-01T01:00+01:00,2024-02-01,00:00,01:00,Totalt i retning Solli Plass,54,100.0,1,1,0,0,100.00,39,15,2,2,0,11,11,0
71608V603756,BygdÃ¸y alle ,KV10967 S1D1 m1314,2024-02-01T00:00+01:00,2024-02-01T01:00+01:00,2024-02-01,00:00,01:00,Totalt,130,100.0,1,1,0,0,100.00,98,32,2,3,0,27,27,0
71608V603756,BygdÃ¸y alle ,KV10967 S1D1 m1314,2024-02-01T01:00+01:00,2024-02-01T02:00+01:00,2024-02-01,01:00,02:00,1,29,100.0,1,1,0,0,100.00,24,5,5,0,0,0,0,0
71608V603756,BygdÃ¸y alle ,KV10967 S1D1 m1314,2024-02-01T01:00+01:00,2024-02-01T02:00+01:00,2024-02-01,01:00,02:00,2,37,100.0,1,1,0,0,100.00,35,2,0,0,0,2,2,0
71608V603756,BygdÃ¸y alle ,KV10967 S1D1 m1314,2024-02-01T01:00+01:00,2024-02-01T02:00+01:00,2024-02-01,01:00,02:00,3,5,100.0,1,1,0,0,100.00,4,1,0,0,0,1,1,0
71608V603756,BygdÃ¸y alle ,KV10967 S1D1 m1314,2024-02-01T01:00+01:00,2024-02-01T02:00+01:00,2024-02-01,01:00,02:00,Totalt i retning SkÃ¸yen,33,100.0,1,1,0,0,100.00,28,5,4,0,0,1,1,0
